Index,cbG,cbL,dsG,dsL,lsG,lsL,qnG,qnL,xcG,xcL,zhibiao
0,4367.6,4588.3,8548.5,3788.3,1264.2,1939.7,489,122.6,4394.7,104.5,35.32394195
1,896.4,1115.7,5258.3,494.3,2499.3,3209.6,616.8,250.4,5385.6,1095.4,19.16312646
2,4076.7,4297.2,4918.9,153.9,358.9,698.9,1855.3,1489,4513.9,595,35.21958602
3,4153.2,4373.5,7797.8,3036.4,235.2,824.5,967.6,601.2,4410.7,222.7,30.17229328
4,1665.9,1885.5,9821.8,5063.2,420.7,1026,557.1,190.9,5246.8,1034.8,42.48121479
5,1172.2,1391.5,6112.1,1348.4,1725.7,2407.3,1363,996.7,6759.6,2469.1,44.34473692
6,1422.5,1641.9,9842.8,5083.3,2135.8,2756.1,3126.3,2759.8,6979.9,2689.7,84.87297332
7,854.3,1073.3,6365.4,1602.1,1961.3,2634.6,510.2,143.9,7166.8,2875.4,48.2551566
8,2716.2,2936.2,8008,3246.8,655.4,1278.7,958.8,592.4,6713.1,2463.3,55.10155839
9,2469.4,2689.2,7672.7,2911.1,986.7,1638.9,1207.2,840.8,5020.7,775.7,32.39904937
10,3503.7,3724.1,6444.4,1681.8,962.5,1612.7,2789.3,2423.1,6915.2,2623.9,62.97769351
11,2427.7,2647.4,4976,211.2,1884.6,2563.9,1566.1,1200.1,6602.6,2312.3,43.77845653
12,1203.7,1422.6,8671.7,3911.3,1378.4,2063.3,1236.8,870.5,4615,339.8,27.19882267
13,197,415.4,7139.1,2377.3,2505.1,3174,2827.7,2461.6,6502.3,2211.7,54.70626145
14,770.5,989.7,8675.7,3915.2,519,1131,2555.2,2188.7,4500.9,299.7,29.09842871
15,3146,3365.8,8978,4218.4,2178.3,2834.1,1477.1,1110.9,5859.6,1569.5,62.95747306
16,3137.8,3357.9,5651.6,888.1,1157.5,1823.8,1669.1,1302.6,4536.5,287.7,19.0582316
17,3456.2,3676.6,6038,1274.9,687.7,1314.3,2159.1,1792.5,5577.5,1349.9,38.18180581
18,4472.6,4693.4,9726.7,4967.3,1330.2,1988.2,1005.1,638.6,4486.3,196.6,48.71257221
19,4210.8,4431.7,7026,2263.6,1527.6,2173.9,3225.4,2859.1,6265.3,1973.7,64.29181219
20,4055,4275.2,5843.8,1079.9,1997.5,2652.4,1730.4,1364,6776.4,2484.5,60.49204544
21,1926.3,2145.5,8630.6,3869.5,965.4,1615.5,1265.5,899.1,5040.3,793.7,36.49588347
22,2659.1,2879.1,9569.6,4811,2266.2,2901.1,616.8,250.4,6815.6,2525.2,75.34336894
23,842.6,1062,7186.2,2423.7,10.9,581.4,3033.8,2667.4,5950.5,1779.8,47.56087089
24,4323.6,4544.2,4964,199.6,2897.5,3579.4,1017.4,651.1,4833.8,544.3,31.94551349
25,635.5,854,9566.6,4807.2,1704.5,2384.7,2507.9,2141.3,4885.4,595.6,41.67632929
26,2751.5,2971.3,5233.2,468.8,2382.9,3043.6,2496.5,2130.1,6836,2544.5,56.13562419
27,4181.3,4401.8,5450.4,686.2,1181.6,1840.4,1668.8,1302.6,6837.4,2546.5,55.75629267
28,711,929.8,6746.7,1984.3,1839.9,2532,1774.7,1408.3,6072.6,1782.5,37.66499538
29,4472.2,4692.9,8750.7,3991,2605.3,3220.5,2727.6,2361.2,6554.6,2263.9,86.25128152
30,2820.3,3040.2,9748.7,4989.7,272.3,863.7,525.8,159.6,5806.5,1591.7,54.5499382
31,2471.8,2691.5,8238.2,3477.3,280.2,871.7,2191.4,1825,6938.5,2709,64.66726796
32,1063.3,1282.4,7965,3204.3,2208.7,2862.7,2091,1724.6,6982.1,2691.6,62.64076283
33,4201.1,4421.6,5068.1,304,122.6,702.2,1595.4,1229,7091.2,2879.3,57.11346133
34,3703.6,3923.6,8157.1,3396.1,500.5,1110.4,3215.3,2849.1,7141.3,2865.7,78.77784052
35,4022,4242.4,6604.6,1841.9,749.7,1380.9,1385.5,1019.2,5925.8,1681.7,45.20211681
36,2192,2411.7,8455.4,3694.7,712.4,1341.7,2713,2346.7,5222.8,983.8,45.40473641
37,3951.4,4171.7,8077.1,3315.7,1061,1701.5,1002.1,635.8,7027.9,2738,68.83838802
38,341.7,560.1,5940.9,1177.4,1432.5,2121.4,1998.7,1632.1,5938.1,1662.7,28.29607701
39,3357,3577.2,7342.3,2580.7,1366,2048.7,893.9,527.7,4901.4,619.8,32.38335626
40,1721.1,1940.3,8024,3262.3,526.5,1139.4,1718,1351.6,6224.6,2002.7,50.04017179
41,294.8,513.8,5415.4,651.4,1255.3,1929.6,1458.5,1092.4,5520.1,1272.8,17.46237757
42,3834.2,4054.7,8429.4,3669.2,1503.3,2169.5,2593,2226.5,4753.9,463.8,48.30792224
43,3897.2,4117.5,8824.8,4064.5,2440,3077.1,2601.2,2234.6,5971.6,1681.5,73.91248308
44,3333.8,3554,5166.2,402.3,1597.4,2292.6,2725,2358.8,4572.8,283.3,23.79864407
45,97.8,316.5,7707.7,2945.9,2581,3257.2,2513.1,2146.5,6051.5,1761.8,53.78770984
46,1960.7,2180,8634.6,3874.2,1109,1770.5,1201.6,835.6,6609.2,2320.1,57.47299369
47,4271.3,4492.2,8453.4,3693.2,1980.9,2629.4,2032.3,1665.9,5756.4,1466.3,63.99702571
48,4425.7,4646.5,8632.6,3872.6,555.6,1171.3,3175.2,2808.9,4501.6,253.9,49.86830575
49,1304.9,1524.3,7446.4,2685.2,1177.8,1844,2573.1,2206.8,5902.5,1629.9,42.74865205
50,178.6,396.8,7141.1,2379.6,1338.2,2017.6,2589.7,2223.3,5813.1,1537.7,37.14042105
51,1819.4,2038.7,6447.4,1684.9,1691.3,2397.6,2196.6,1830.3,4325.7,35.8,17.05228959
52,4657,4877.7,5366.4,602.6,243.3,831.8,955.8,589.6,6975.6,2753.5,52.92855958
53,3572.4,3792.5,8250.2,3489.7,894.3,1538,2864.6,2498.2,5120.3,854.9,48.14943273
54,4323.1,4543.6,6580.6,1818,1416.4,2099.2,1005.4,639,5139.2,849.1,36.11130126
55,465.6,684.5,5336.3,572.5,1892.1,2582.9,1237.8,871.7,6680.4,2389.7,34.76949597
56,4691.9,4912.7,6107.1,1343.7,1398.6,2081.4,1871.2,1504.7,4573.6,283.9,30.95132514
57,1888.1,2107.6,6769.8,2007.5,392.6,994.5,929.1,562.7,5551.4,1365.7,30.75172804
58,3954.3,4174.6,8750.7,3991,318.4,912.9,3176.9,2810.5,5809.5,1571.8,64.55801962
59,4026.9,4247.5,4875.9,111.4,802.1,1438.2,1811.6,1445.2,5866.2,1625.8,36.85896412
60,4551.1,4772,6432.4,1669.4,2819.4,3465.2,3053,2686.7,5714.9,1425.3,62.52980531
61,4371.5,4592.2,5718.7,954.6,510.6,1121.3,1169.4,803,6822.9,2583.2,54.46705654
62,1647.1,1866.9,7289.3,2527.4,76.6,651.3,1381.9,1015.6,4884.7,732.8,25.79569032
63,2643.6,2863.3,7741.7,2979.9,490,1097.9,3018.4,2652.1,6873.1,2623.9,66.70999308
64,4000.7,4220.9,7958.9,3198.1,471.9,1079.3,935.3,568.7,7089.7,2834.8,67.91761481
65,2907.4,3127.3,7246.2,2484,1646.3,2333,1359.1,992.7,5398.7,1108.6,37.83286841
66,4325.5,4546.5,8056,3295.5,2354.3,2994.4,1842.9,1476.6,6258,1967.9,70.31467996
67,233.8,452.7,5182.2,417.7,2744.2,3434.1,1124.7,758.4,6467.4,2176.9,35.8611793
68,3380.7,3600.9,6332.3,1568.9,932.1,1578.3,1699.8,1333.5,5189.3,948.7,32.76337402
69,2793.2,3013.1,7136.1,2374.2,160.3,742.9,2050.9,1684.8,4340.2,172.8,26.05909674
70,1613.7,1832.9,9075.1,4315.1,2556.9,3206.3,368.7,2.4,6759.6,2469.1,67.70642719
71,4681.7,4902.5,7066.1,2303.8,332.5,926.7,1323.6,956.9,6702.2,2469.1,61.17435484
72,3054,3274.2,7592.6,2831.4,51.4,625,2807.2,2440.7,4720.4,545.9,40.65005117
73,1719.2,1938.6,8036,3274.6,2343.4,3016.2,2020.5,1654.2,5833.4,1543.4,52.09344432
74,4255.8,4476.4,6917.9,2155.2,2246.2,2909.6,2146.7,1780.4,5532.5,1242.7,53.75635621
75,3620.8,3841.1,8486.5,3725.7,1070.2,1727.3,2492.3,2125.6,4812.7,537.7,43.38351078
76,83.7,302.4,6179.2,1416.5,1875.2,2553.4,1569.7,1203.3,6948.7,2658.7,47.9181628
77,453,672,5395.4,631.3,510,1120.5,2505.3,2138.9,5498.3,1313.9,21.35985731
78,4730.6,4951.7,7778.8,3017.8,2025.7,2647.9,2792.5,2426.3,6737.1,2445.8,79.8707694
79,2793.2,3013.1,9515.5,4756.1,1121.7,1783.5,1897,1530.8,5195.9,911.8,50.33601779
80,1452.5,1671.3,6660.7,1897.6,2827.8,3491.8,3060.8,2694.3,6316.9,2025.9,58.59771155
81,2270.4,2489.7,6576.6,1814.1,1659.2,2360.8,887,520.9,5129,839.2,26.78645254
